gender,category,image,brand,description,price,discount,url,rating,reviews
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7196161/2019/3/4/1d47b317-c08e-4447-8d48-fc544b41f4df1551699216283-Roadster-Men-White-Striped-Round-Neck-T-shirt-53515516992154-1.jpg",HERE&NOW,Solid Round Neck T-shirt,Rs. 599,(Rs. 600 OFF),https://www.myntra.com/tshirts/herenow/herenow-men-white-solid-round-neck-t-shirt/8267997/buy,4,775 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8267997/2019/1/9/2aa11437-9107-4e02-86ca-d0d7ca2190e81547028324622-HERENOW-Men-White-Solid-Round-Neck-T-shirt-351547028323849-1.jpg",Rigo,Round Neck T-shirt,Rs. 419,(58% OFF),https://www.myntra.com/tshirts/rigo/rigo-men-blue-solid-round-neck-t-shirt/7480573/buy,4.1,6.8k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7480573/2018/9/25/1c13b5f2-37db-4632-b206-99b40bbb8bf51537864626551-Rigo-Blue-With-Navy-Back-Yoke-Cuff-And-Bottom-Tshirt-Full-5651537864626357-1.jpg",Roadster,Varsity Graphic T-shirt,Rs. 329,(45% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-grey-melange-varsity-graphic-t-shirt/8938267/buy,4,4.3k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8938267/2019/3/26/9ffe6320-038d-44f9-84e3-5530b6abb1601553583592221-Roadster-Men-Grey-Printed-Round-Neck-T-shirt-736155358359046-1.jpg",Nautica,Men Solid Polo Collar T-shirt,Rs. 2849,(5% OFF),https://www.myntra.com/tshirts/nautica/nautica-men-solid-pistachio-green-polo-collar-t-shirt/15339618/buy,4,12.2k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15339618/2021/9/30/a7c3e17e-b971-46db-8c5f-4ed8bdb9bf1f1632992472353-Nautica-Men-Tshirts-3081632992471761-1.jpg",HERE&NOW,Solid Polo Collar T-shirt,Rs. 479,(70% OFF),https://www.myntra.com/tshirts/herenow/herenow-men-navy-blue-solid-polo-collar-t-shirt/8277459/buy,,
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8277459/2019/4/25/a8cce89f-addf-4fa9-b0d5-55e483e0e0ab1556190183081-HERENOW-Men-Tshirts-671556190181373-1.jpg",Roadster,Colourblocked T-shirt,Rs. 404,(55% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-black--blue-colourblocked-round-neck-t-shirt/2499318/buy,4.4,419 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2499318/2018/7/17/03df8045-e586-4a87-acf4-44d1b892271a1531817691523-Roadster-Men-Black-Colourblocked-Round-Neck-T-shirt-52515318-1.jpg",Moda Rapido,Striped Round Neck T-shirt,Rs. 599,(Rs. 500 OFF),https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-navy-blue--white-striped-round-neck-t-shirt/2378414/buy,4.3,1.5k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2378414/2018/2/8/11518071262125-Moda-Rapido-Men-Navy-Blue-Striped-Round-Neck-T-shirt-3641518071261992-1.jpg",Roadster,Solid Polo Collar T-shirt,Rs. 314,(65% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-white-solid-polo-collar-t-shirt/2303684/buy,4.2,4.8k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2303684/2018/3/30/11522403280846-Roadster-Men-Tshirts-6281522403280671-1.jpg",Nautica,Men Solid Polo Collar T-shirt,Rs. 2849,(5% OFF),https://www.myntra.com/tshirts/nautica/nautica-men-solid-black-polo-collar-t-shirt/15339626/buy,3.9,209 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15339626/2021/9/30/53d8e0ed-41da-4b47-af74-230d6e7e52501632992312709-Nautica-Men-Tshirts-1991632992312184-1.jpg",DILLINGER,Solid Round Neck T-shirt,Rs. 398,(43% OFF),https://www.myntra.com/tshirts/dillinger/dillinger-men-mauve-solid-round-neck-t-shirt/11543376/buy,,
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11543376/2020/3/3/0ca49258-67bc-4de6-97ae-0d82467340b51583216200086-DILLINGER-Men-Tshirts-9651583216197688-1.jpg",HERE&NOW,Printed Round Neck T-shirt,Rs. 209,(70% OFF),https://www.myntra.com/tshirts/herenow/herenow-men-black-printed-round-neck-t-shirt/12816456/buy,4.3,3k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12816456/2020/12/7/12a82030-1f28-4b83-8936-263e125b66ed1607321801829-HERENOW-Men-Tshirts-1701607321800185-1.jpg",HRX by Hrithik Roshan,Running Rapid Dry T-shirt,Rs. 404,(55% OFF),https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-solid-rapid-dry-running-t-shirt/10565566/buy,4.2,482 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10565566/2020/2/4/98edd42d-583b-44ff-9d90-4e67e5a3522f1580809674758-HRX-by-Hrithik-Roshan-Men-Black-Solid-Running-T-shirt-163158-1.jpg",Roadster,Colourblocked Polo Collar T-shirt,Rs. 479,(60% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-grey--blue-colourblocked-polo-collar-t-shirt/10422942/buy,4.3,6.8k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10422942/2020/7/1/81dcdc6f-40e4-499c-acc5-823f9080a3b51593577629458-Roadster-Men-Tshirts-2981593577627466-1.jpg",H&M,Cotton T-shirt Regular Fit,,0,https://www.myntra.com/tshirts/hm/hm-men-white-solid-cotton-t-shirt-regular-fit/11468714/buy,4.4,818 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/2/6/1f5471ec-c783-4fa7-99f4-2b6f6fb251761580946317672-1.jpg",Calvin Klein Jeans,Men Printed Slim Fit T-shirt,,0,https://www.myntra.com/tshirts/calvin-klein-jeans/calvin-klein-jeans-men-light-blue-logo-printed-slim-fit-casual-t-shirt/14590966/buy,4.2,3.5k Verified Buyers
