gender,category,image,brand,description,price,discount,url,rating,reviews
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15828674/2021/10/17/1fa086a4-0ca6-4e55-bd30-ad076c791fb81634431595710MyshkaWomenBlackPanelledPureCottonKurtiwithPalazzosWithDupat1.jpg",Ahalyaa,Printed Kurta with Trousers,Rs. 1595,(Rs. 3905 OFF),https://www.myntra.com/kurta-sets/ahalyaa/ahalyaa-women-burgundy--golden-printed-kurta-with-trousers/13769394/buy,4.8,8 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13769394/2021/10/22/0510bbdc-fc3a-4482-b03a-5d9fb3f717541634898634882-Ahalyaa-Women-Burgundy--Golden-Printed-Kurta-with-Trousers-8-1.jpg",Fabindia,Printed Cotton Straight Kurta,,0,https://www.myntra.com/kurtas/fabindia/fabindia-women-teal-blue-printed-pure-cotton-straight-kurta/15669654/buy,4,795 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15669654/2021/10/25/5ed265ec-8750-4919-a715-3e5d8bf128f11635157652709-Fabindia-Women-Teal-Blue-Printed-Pure-Cotton-Straight-Kurta--1.jpg",Libas,Printed Anarkali Kurta,Rs. 949,(Rs. 950 OFF),https://www.myntra.com/kurtas/libas/libas-women-navy-blue--beige-printed-anarkali-kurta/2440697/buy,,
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2440697/2018/2/6/11517899041512-Libas-Women-Kurtas-7161517899041331-1.jpg",AHIKA,Printed Straight Kurta,Rs. 490,(43% OFF),https://www.myntra.com/kurtas/ahika/ahika-women-sea-green--white-printed-straight-kurta/10808318/buy,3.9,3.8k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10808318/2019/10/30/81951e94-65d7-4963-8079-d6dc0af6b4a21572428669911-AHIKA-Women-Kurtas-4981572428668232-1.jpg",Nayo,Women Kurta With Trouser,Rs. 1479,(Rs. 2220 OFF),https://www.myntra.com/kurta-sets/nayo/nayo-women-red-floral-printed-kurta-with-trouser--dupatta/14709966/buy,3.9,8.3k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14709966/2021/7/10/d2407657-1f04-4d13-9f52-9e134050489b1625905793495-Nayo-Women-Red-Ethnic-Motifs-Printed-Empire-Pure-Cotton-Kurt-1.jpg",Libas,Kurta with Long Ethnic Jacket,Rs. 1044,(Rs. 855 OFF),https://www.myntra.com/kurtas/libas/libas-crimson-a-line-kurta-with-long-ethnic-jacket/2388909/buy,4,580 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2388909/2018/1/15/11515994464628-Libas-Women-Black--Maroon-Printed-A-Line-Kurta-3451515994464496-1.jpg",Ishin,Women Printed Kurta with Palazzos,Rs. 1487,(Rs. 912 OFF),https://www.myntra.com/kurta-sets/ishin/ishin-women-green--golden-printed-kurta-with-palazzos/8457929/buy,4.2,5.8k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8457929/2019/1/18/d52cb6c4-8427-4770-8cf9-fa1d4779c89b1547811607379-Ishin-Women-Green--Gold-Toned-Printed-Kurta-with-Palazzos-44-1.jpg",Fabindia,Women Solid Cotton Kurta,,0,https://www.myntra.com/kurtas/fabindia/fabindia-women-black-solid-cotton-kurta/15251134/buy,4.2,1.6k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15251134/2021/9/16/5d064cb1-8a70-4306-ba7e-c47bf28aadd51631785029968-Fabindia-Women-Black-Solid-Cotton-Kurta-8981631785029471-1.jpg",Khushal K,Woven Design Kurta Set,Rs. 1899,(Rs. 2850 OFF),https://www.myntra.com/kurta-sets/khushal-k/khushal-k-women-white-woven-design-kurta-with-churidar--dupatta/13391080/buy,4.4,8 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13391080/2021/9/22/56e6dcba-eef4-4629-8ff2-0d800bc92f051632303620249KhushalKWomenWhiteWovenDesignKurtawithChuridarDupatta1.jpg",Libas,Printed Kurta with Palazzos,Rs. 999,(Rs. 1000 OFF),https://www.myntra.com/kurta-sets/libas/libas-women-navy-blue--sea-green-printed-kurta-with-palazzos/12741898/buy,4.4,802 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/10/14/6de055b9-f416-46c4-85fd-d40f837ea95d1602630018652-1.jpg",Vishudh,Printed Straight Kurta,Rs. 517,(Rs. 632 OFF),https://www.myntra.com/kurtas/vishudh/vishudh-women-black--golden-printed-straight-kurta/2110558/buy,4.3,6.5k Verified Buyers
