gender,category,image,brand,description,price,rating,reviews
F,skirts-palazzos,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13983880/2021/4/9/2a8cecf2-d5a1-40fe-b3fd-22577d0e00681617955042216BelleFilleWomenOff-WhitePeach-ColouredStripedBasicJumpsuitSk1.jpg",Studio Shringaar,Women Floral Lehenga Skirt,Rs. 1440,4.1,4759
F,skirts-palazzos,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11227214/2020/1/8/4d6a32ab-1c19-4fd8-a688-cdc37ee0700e1578462959742-anayna-Women-Black--Beige-Printed-Flared-Maxi-Skirt-26815784-1.jpg",anayna,Women Pure Cotton Printed Maxi Skirt,Rs. 879,4.3,4758
F,skirts-palazzos,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/4/30/c397d724-d0a4-465e-a98d-9e34a42afba31619803043026-1.jpg",Globus,Women Striped Printed Flared Maxi Skirt,,4.6,9081
F,skirts-palazzos,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/6819356/2018/11/27/d45c4182-1e25-4542-839d-a090ec04224b1543309754761-Melange-by-Lifestyle-Women-Palazzos-8671543309753880-1.jpg",Melange by Lifestyle,Women Straight Self Design Palazzos,,3.1,3015
F,skirts-palazzos,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11893114/2020/6/1/ba1f3086-e11c-4c45-a1be-bf81beea376d1590991583029JuniperMaroonRayonPrintedFlaredPalazzo1.jpg",Juniper,Women Flared Printed Palazzos,Rs. 798,4.3,292
F,skirts-palazzos,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15162598/2021/9/14/ad2c89ba-ff3c-4c5a-a8dc-edcdbce8695f1631601859581-Shae-by-SASSAFRAS-Women-Skirts-7361631601858934-1.jpg",Shae by SASSAFRAS,Women Jacquard Maxi Skirt,Rs. 1609,3.0,5566
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14192560/2021/7/16/5ca880cc-77c4-4802-99a2-7c7aefa7c7f71626418370461-Saree-mall-Red--Off-White-Ikat-Printed-Sarees-91916264183699-1.jpg",Saree mall,Blazing Red Linen Blend Saree,Rs. 749,3.1,9206
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/7/9/33612da4-17cc-490e-b90e-c356cad1342a1625835039054-3.jpg",KALINI,Leheriya Kota Saree,Rs. 566,3.3,3909
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13903168/2021/4/17/638f7420-e644-462e-a484-d6b87e146ee51618644035247-Anouk-Sea-Green-Pure-Georgette-Printed-Dark-Floral--Daily-We-1.jpg",Anouk,Floral Printed Saree,Rs. 1479,4.8,2944
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9140095/2019/4/1/23d28a6a-92d6-40bb-885d-1c888973d2c11554102654554-Mitera-Pink-Silk-Blned--Woven-Design-Party-wear-Banarasi-Sar-1.jpg",Mitera,Woven Design Banarasi Saree,Rs. 1673,4.9,7821
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15192448/2021/8/18/4b1d5d36-7efe-4b07-a6a3-7271164186651629306734439PisaraWomenRedPrinted1.jpg",Pisara,Floral Silk Blend Saree,Rs. 664,4.0,1594
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14975358/2021/7/29/9e1484a0-92f8-4871-9b98-fc9f389406691627570339977KALINIWomenBlackPrinted1.jpg",KALINI,Ethnic Motifs Saree,Rs. 559,4.0,1269
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14856480/2021/7/17/b54d9b4c-75a2-41e3-b7ba-0f217a935e0c1626506793923TheChennaiSilks-TraditionalDharmavaramWeddingPureSilkSaree1.jpg",The Chennai Silks,Ethnic Motifs Dharmavaram Pure Silk Saree,Rs. 11533,3.6,7797
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/28/cd191469-0b3b-470c-8365-20cc4c37556d1574893593957-1.jpg",Mitera,Woven Design Kanjeevaram Saree,Rs. 1379,5.0,3528
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/8/11/35643372-9a6a-45b5-a18a-af056a97b6e51565465392383-1.jpg",Mitera,Woven Design Banarasi Saree,Rs. 1471,4.7,7062
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14006676/2021/7/9/f64945d1-1fac-40d2-81ad-72142d1128341625815390085-Saree-Mall-Green-Brasso-Net-Ethnic-Floral-Print-Casual-Wear--1.jpg",Saree mall,Ethnic Motifs Chanderi Brasso Saree,Rs. 779,4.4,905
F,saree,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14988488/2021/7/30/a16ea8b3-d1f8-42d6-af82-d1c0c680035c1627661474245MulticolorPrintedCrepeSaree1.jpg",Tikhi Imli,Tie & Dye Saree,Rs. 845,4.1,3832
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10340125/2019/8/7/0419f4ed-6d77-4365-b6ee-4ae2117201191565180545617-Inddus-Women-Dress-Material-5461565180543577-1.jpg",Inddus,Woven Design Unstitched Dress Material,Rs. 2899,3.4,3900
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13419808/2021/1/28/b15a6f28-4202-4b73-bdc0-895204077d4a1611822789968BlueColorCottonKurtainGotaPrintedworkBottomwithDupattaDressM1.jpg",Readiprint Fashions,Embellished Semi-Stitched Dress Material,Rs. 2325,4.5,8253
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/1/30/ebbec145-2649-4fa9-adda-a4e6d3580e0e1580333600479-1.jpg",DIVASTRI,Printed Unstitched Dress Material,Rs. 1057,3.4,7100
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14912320/2021/8/9/74461a27-685c-4171-8d2e-57804f63e04a1628497849483-SheWill-Women-Dress-Material-9741628497848613-1.jpg",SheWill,Printed Unstitched Dress Material,Rs. 1151,4.6,1967
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/7/5/5003c371-b119-4423-8fe9-2f564f5a20461625477461812-1.jpg",JATRIQQ,Embellished Semi-Stitched Dress Material,Rs. 1649,4.6,8051
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14861658/2021/8/6/7bc93773-9e5c-4253-9659-adf411ba260e1628247083639-Kvsfab-Women-Dress-Material-5731628247082665-1.jpg",Kvsfab,Unstitched Dress Material,Rs. 1087,3.0,1330
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14109476/2021/6/16/e108c62e-c7f1-4c03-b728-87517c3dd0ed1623841704796-Net-Fabric-Pink-Color-Kurta-in-ZariSequence-work-with-Bottom-1.jpg",Readiprint Fashions,Embroidered Unstitched Dress Material,Rs. 2750,4.5,4809
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/2/11/9a1ed598-1816-4f46-acf9-61a90eb14e8e1613051493442-1.jpg",Ethnic Junction,Embroidered Unstitched Dress Material,Rs. 839,3.2,11010
