,name,rating,no_of_reviews,img_links
106,2Go Men's Solid Regular Fit T-Shirt,3.6 out of 5,13 ratings,https://images-na.ssl-images-amazon.com/images/I/81VxYzNsnxL._UY550_.jpg
107,Nike Men's Regular fit T-Shirt,3.1 out of 5,2 ratings,https://images-na.ssl-images-amazon.com/images/I/81Xk18yTisL._UY550_.jpg
108,Van Heusen Athleisure Men's Solid Regular Fit T-Shirt,4 out of 5,37 ratings,https://images-na.ssl-images-amazon.com/images/I/71N0p9Mm%2B5L._UY550_.jpg
109,US Polo Association Men's Solid Regular fit T-Shirt,4.6 out of 5,6 ratings,https://images-na.ssl-images-amazon.com/images/I/61xERjc-GQL._UX425_.jpg
110,AWG - All Weather Gear Men's Solid Regular fit T-Shirt,3.5 out of 5,292 ratings,https://images-na.ssl-images-amazon.com/images/I/715JPrV0gBL._UX466_.jpg
111,Puma Men's Regular fit T-Shirt,3 out of 5,1 rating,https://images-na.ssl-images-amazon.com/images/I/71nXIswp%2BrL._UY550_.jpg
112,Peppyzone Men's Slim Fit T-Shirt,3.7 out of 5,359 ratings,https://images-na.ssl-images-amazon.com/images/I/61ow8ecYpHL._UX425_.jpg
113,Max Men's Plain Slim Fit T-Shirt,3.6 out of 5,8 ratings,https://images-na.ssl-images-amazon.com/images/I/916Q4KAHSML._UY550_.jpg
114,EYEBOGLER Cool Hip hop Casual wear Oversize Men's T-Shirt,3.4 out of 5,10 ratings,https://images-na.ssl-images-amazon.com/images/I/51XyZhsboML._UY550_.jpg
115,YaZhi Men's Regular Fit T-Shirt (Pack of 3),4.1 out of 5,31 ratings,https://images-na.ssl-images-amazon.com/images/I/51XyZqLX5EL._UX522_.jpg
116,AWG - All Weather Gear Men's Solid Regular fit T-Shirt,3.5 out of 5,292 ratings,https://images-na.ssl-images-amazon.com/images/I/715JPrV0gBL._UX466_.jpg
117,Veirdo Men's Regular Fit T-Shirt,3.9 out of 5,303 ratings,https://images-na.ssl-images-amazon.com/images/I/71bqkYdQJKL._UY550_.jpg
118,THE ARCHER Men's Cotton T-Shirt,3.5 out of 5,65 ratings,https://images-na.ssl-images-amazon.com/images/I/717wkn7ZAZL._UX522_.jpg
