,Brand,Description,Reviews,Discount,Category,Rating,Links
72,USPOLO,Men's Printed Regular fit T-Shirt,20,Save ₹740 (37%),Shirts,4.3072632242230835,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
73,Peter England,Men's Striped Regular fit T-Shirt,5,Save ₹559 (43%),Shirts,4.541008208405917,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
74,Red Tape,Men's Regular T-Shirt,86,"Save ₹2,200 (76%)",Shirts,4.82260002068775,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
75,Dennis Lingo,Men's Regular T-Shirt,45,"Save ₹1,800 (72%)",Shirts,3.342182689697289,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
76,Red Tape,Men's Printed Regular fit T-Shirt,170,"Save ₹1,640 (75%)",Shirts,3.734249186290351,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
77,Levi's,Men's Regular Polo Shirt,64,Save ₹880 (40%),Shirts,3.2054786614781423,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
78,Amazon Brand - Symbol,Men's Solid Regular Fit T-Shirt,49,"Save ₹1,010 (72%)",Shirts,4.414615290660619,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
79,Amazon Brand - Inkast Denim Co.,Heathered V-Neck T-Shirt,662,Save ₹940 (63%),Shirts,3.9807736887975036,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
80,Amazon Brand - House & Shields,Men's Regular Fit T-Shirt,19,"Save ₹1,780 (77%)",Shirts,3.7966346483575046,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
81,Radhe Enterprise,Men's Regular Fit T-Shirt,1,1,Shirts,4.332323508562918,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
82,Dennis Lingo,Men's Regular Fit T-Shirt,"1,179","Save ₹1,496 (68%)",Shirts,4.982452651616375,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
83,LookMark,Men's Solid Regular Fit T-Shirt,60,"Save ₹1,100 (69%)",Shirts,3.714441785135797,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
84,Levi's,Men's Regular fit T-Shirt,24,Save ₹400 (20%),Shirts,3.860924463637091,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
85,Amazon Brand - Symbol,Men's Regular T-Shirt,52,"Save ₹1,240 (73%)",Shirts,4.39730077273976,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
86,Amazon Brand - Symbol,Men's Slim T-Shirt,65,Save ₹970 (69%),Shirts,4.472821281851301,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
87,Amazon Brand - Symbol,Men's Regular fit T-Shirt,24,"Save ₹1,010 (67%)",Shirts,4.288128204096777,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
88,Amazon Brand - House & Shields,Men Polo Shirt,68,"Save ₹1,500 (71%)",Shirts,3.1455864305664045,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
89,Levi's,WYO Men's Tshirt with Camouflage Style |Half Sleeve Tshirt |All Over Print |Military Army Stylist Tshirt,20,Save ₹740 (37%),Shirts,4.025852548818002,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
90,Amazon Brand - Symbol,Men's Regular Fit T-Shirt,999,"Save ₹1,989 (71%)",Shirts,4.901030612890778,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
91,Dennis Lingo,Men's Solid Regular fit Polo,182,"Save ₹1,600 (70%)",Shirts,3.505463388581717,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
92,Levi's,Men's Cotton Regular Fit Color Blocked Sleeveless T-Shirt,1,"Save ₹1,300 (50%)",Shirts,4.661898677713289,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
93,Amazon Brand - Symbol,Men's Cotton Half Sleeve Printed Polo T-Shirt,14,"Save ₹1,114 (66%)",Shirts,3.354338983700038,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
94,Amazon Brand - Symbol,Men's Classic Fit T-Shirt,679,Save ₹970 (69%),Shirts,3.7669221034711646,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
95,Amazon Brand - House & Shields,Men T-Shirt,20,"Save ₹1,611 (73%)",Shirts,4.043467378057927,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
96,Amazon Brand - Symbol,Men's Slim Fit Casual Shirt,2,"Save ₹1,040 (65%)",Jeans,4.03700165694569,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
97,NEWPORT,Men's Checkered Slim Fit Casual Shirt,1,"Save ₹1,110 (65%)",Jeans,3.5898665951895516,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
98,Levi's,Men's Solid Slim Fit Casual Shirt,9,"Save ₹1,870 (55%)",Jeans,4.688618101445569,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
99,Pepe Jeans,Men's Casual Shirt,34,"Save ₹1,708 (61%)",Jeans,4.352063913284057,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
100,KILLER,Men's Slim Fit Casual Shirt,15,"Save ₹1,947 (59%)",Jeans,3.280041475265697,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
101,Wearo,Men's Slim Fit Casual Shirt,389,Save ₹800 (53%),Jeans,4.353604359735997,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
102,KILLER,Men's Shirt,6,"Save ₹2,090 (61%)",Jeans,4.703869655341716,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
103,Max,Men's Casual Shirt,54,Save ₹171 (34%),Jeans,4.151794498027165,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
